Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q5_1	Q5_2	Q5_3	Q6	Q7P_1	Q7P_2	Q7P_3	Q7P_4	Q7S_1	Q7S_2	Q7S_3	Q7S_4	Q8_1	Q8_2	Q8_3	Q10	Q15	Q15_1	Q16	Q1	CODERESP
8	7	11	11	8	8	10	10	9	8	10	10	7	8	11	8	7	7	8	5	8	7	7	8	3	953
5	7	7	11	7	10	10	10	7	7	8	6	11	6	6	6	6	6	6	11	8	6	7	5	3	275
7	5	11	5	5	11	10	10	7	8	8	8	11	7	7	7	10	7	7	8	8	7	6	6	3	1266
10	8	8	8	8	9	9	9	6	9	10	10	11	8	8	8	11	8	8	11	8	7	10	6	3	435
8	8	5	11	7	8	9	9	7	9	9	9	11	9	9	9	5	7	7	7	8	8	8	5	3	410
2	5	2	11	2	6	8	8	2	7	4	3	3	1	5	2	3	1	2	11	1	2	1	2	3	1004
5	6	5	11	4	5	10	10	6	7	7	5	1	7	7	7	5	5	7	5	5	98	1	5	3	274
9	10	10	6	10	9	8	8	9	10	10	10	11	10	10	10	11	9	10	10	10	9	10	10	3	906
7	8	7	8	8	8	8	8	8	9	9	8	5	8	8	8	7	8	8	11	9	98	6	7	3	1014
5	5	5	5	5	10	10	10	10	5	10	1	11	5	5	5	1	5	5	1	5	98	5	5	3	402
7	7	6	11	7	8	8	3	7	6	8	7	11	8	5	7	5	5	4	5	6	6	6	6	3	542
9	9	8	7	7	9	9	10	10	10	10	10	8	9	9	10	8	9	11	11	9	8	8	9	3	243
5	7	6	11	7	7	9	9	5	7	11	8	8	9	8	9	4	5	6	5	6	7	6	6	3	604
6	5	6	6	7	7	6	5	6	7	10	7	11	7	7	11	7	5	5	5	1	5	6	6	3	1005
6	6	5	4	5	6	6	6	4	5	7	7	4	7	6	6	4	6	6	11	5	98	5	5	3	489
7	9	7	11	8	8	9	8	5	8	10	10	6	10	10	10	10	7	9	5	5	3	5	5	3	292
9	7	8	7	8	9	8	10	8	11	9	6	8	9	7	8	9	8	8	9	9	9	9	8	3	439
9	9	8	4	8	8	6	8	8	8	8	10	11	8	8	4	5	5	8	3	10	8	8	7	3	681
10	10	10	9	10	10	10	10	10	10	10	9	9	10	8	10	8	10	10	8	9	98	9	9	3	563
6	8	5	2	5	10	10	10	8	3	7	3	11	8	8	8	2	5	5	7	7	3	5	4	3	887
6	5	7	4	5	6	6	7	6	7	7	11	6	6	7	5	6	5	8	5	8	5	5	5	3	780
8	8	6	6	8	8	8	8	8	9	6	8	11	9	8	8	7	7	9	7	10	7	8	8	3	998
7	8	5	7	7	7	7	8	6	8	9	10	6	10	10	9	6	7	7	11	10	7	7	9	3	608
7	7	8	7	7	8	8	8	7	8	7	8	11	8	6	6	6	8	8	8	7	8	7	7	3	1149
10	9	9	7	8	10	10	10	9	10	10	10	11	10	10	10	6	8	8	7	9	7	7	7	3	115
9	9	9	9	9	10	10	10	9	9	9	10	10	10	9	10	10	9	9	9	9	98	10	9	3	65
8	10	10	7	10	9	9	9	6	8	10	8	11	8	8	8	5	7	8	8	9	7	7	7	3	929
7	6	6	7	6	8	8	8	6	6	8	8	11	6	7	7	6	6	6	5	5	5	5	5	3	983
9	10	10	11	9	10	10	10	8	10	10	10	8	10	10	9	9	9	9	9	10	10	10	9	3	241
6	10	8	7	10	10	10	8	6	10	9	10	8	8	9	10	8	8	7	7	9	8	7	5	3	299
7	5	8	5	7	7	7	7	6	5	5	5	7	7	8	7	8	5	8	6	8	8	8	8	3	1142
9	8	8	8	9	8	10	10	8	10	9	9	7	7	7	8	6	7	8	1	10	5	5	8	3	419
6	6	7	5	7	6	7	6	7	7	7	7	7	8	4	6	3	6	6	5	7	6	7	6	3	433
8	10	8	10	9	10	10	8	8	8	10	10	10	10	8	8	8	8	8	8	1	7	7	5	3	834
7	7	8	8	7	5	5	5	5	7	10	10	5	8	10	10	10	5	7	8	10	5	10	9	3	702
1	1	1	1	2	7	3	1	5	5	5	10	5	10	8	10	1	10	7	1	1	1	1	1	3	730
9	10	9	9	9	10	10	10	9	8	7	7	7	9	7	9	9	8	8	8	9	9	9	8	3	54
8	8	7	8	8	8	8	8	8	8	8	8	7	8	8	8	7	7	7	7	8	8	8	7	3	316
10	10	8	8	10	10	10	10	10	10	10	10	7	10	7	10	5	10	10	7	10	8	10	10	3	1110
6	5	7	6	8	9	9	9	8	10	10	10	7	7	8	8	7	6	8	8	9	6	6	6	3	482
10	10	10	8	10	10	10	10	10	9	10	9	8	9	8	10	8	10	9	9	10	10	10	9	3	528
6	6	6	5	5	8	8	8	7	7	9	9	5	5	4	4	4	4	4	4	4	5	5	5	3	341
7	7	5	7	8	7	5	5	6	5	9	7	5	6	5	6	4	5	7	8	10	5	6	6	3	714
8	8	8	8	9	9	9	9	8	8	9	9	8	9	9	9	8	8	9	8	10	8	8	8	3	885
5	4	4	3	5	6	5	2	4	3	8	3	3	4	6	5	4	2	4	2	1	3	1	2	3	939
4	8	8	6	6	9	9	9	6	4	6	4	4	6	5	6	4	4	6	6	1	5	4	4	3	142
10	10	8	7	10	10	10	10	10	8	10	7	6	10	10	10	10	7	10	7	9	10	10	8	3	601
8	8	8	7	8	8	8	8	8	8	9	9	7	8	8	8	7	7	8	8	9	8	8	8	3	647
9	10	10	8	10	9	9	9	6	10	10	8	8	9	6	8	5	7	10	8	10	9	9	7	3	689
9	10	8	6	10	9	9	9	8	10	10	10	8	8	9	9	9	9	10	8	10	10	10	8	3	298
8	8	9	7	9	9	9	9	7	10	10	7	9	8	8	9	6	8	8	9	10	8	9	8	3	1065
8	9	8	8	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8	6	10	8	10	8	3	907
7	7	6	6	7	8	8	8	8	8	8	9	6	7	6	7	5	7	7	5	5	4	5	5	3	183
1	1	1	1	1	1	1	1	7	1	1	1	5	1	1	1	1	1	1	2	6	6	6	1	3	1042
8	7	3	5	7	4	3	5	8	8	10	7	8	4	3	7	4	5	9	3	4	7	5	7	3	167
5	5	4	3	3	4	4	5	5	4	4	4	5	5	5	4	4	5	5	5	6	4	5	5	3	101
5	4	4	3	5	5	5	5	5	7	8	8	7	7	5	5	4	6	6	8	10	7	7	7	3	294
8	9	9	10	9	9	9	9	8	9	9	8	9	8	9	9	9	8	9	8	8	8	8	8	3	103
8	10	7	8	9	8	8	8	8	10	10	10	7	8	8	8	8	8	8	7	10	7	7	7	3	540
7	7	7	7	7	7	7	7	7	6	6	8	8	7	7	7	7	7	6	7	7	8	5	7	3	353
4	6	3	5	3	4	2	4	4	4	6	1	5	5	3	5	2	3	5	6	6	4	3	4	3	573
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	10	10	10	10	3	876
8	9	10	9	9	8	8	8	8	10	9	9	9	9	9	9	9	8	9	8	7	7	4	9	3	62
5	5	4	5	7	7	7	7	5	7	8	9	4	8	5	7	3	5	7	3	6	5	5	2	3	537
8	10	6	9	10	9	9	9	5	7	8	8	8	8	8	8	7	7	7	7	8	7	8	7	3	849
9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	9	9	9	10	10	9	3	226
1	2	2	2	3	4	4	4	3	2	3	2	2	3	3	3	3	1	1	1	1	2	1	1	3	216
7	8	5	7	8	8	7	7	7	7	10	8	5	5	5	6	5	6	6	7	7	7	7	6	3	321
8	10	7	11	9	10	10	10	6	7	9	8	11	11	8	9	9	8	8	11	10	98	10	8	4	966
8	8	7	11	6	6	7	7	8	10	10	5	11	11	5	6	5	8	11	11	7	6	7	6	4	119
7	7	7	11	7	10	10	10	8	7	8	7	11	11	7	11	7	6	7	5	7	98	5	3	4	8
8	10	11	8	9	10	10	10	7	8	10	8	11	9	8	10	11	8	8	11	10	10	10	8	4	442
8	7	11	7	8	8	8	8	5	8	9	9	11	9	8	9	11	8	8	11	9	8	8	8	4	202
8	10	7	11	10	7	10	8	9	10	6	8	8	9	11	10	11	10	7	11	9	9	9	8	4	85
7	8	8	11	8	9	9	9	8	11	10	7	9	10	10	9	11	8	10	11	10	8	8	8	4	614
10	10	8	8	10	10	10	10	5	10	10	10	11	10	11	10	5	10	10	11	10	10	10	10	4	326
8	7	7	11	7	9	10	10	8	7	9	7	5	6	5	6	5	7	7	11	5	98	7	7	4	191
4	6	6	11	6	10	10	10	1	10	10	9	8	10	11	10	11	6	6	6	10	4	4	3	4	223
7	7	1	11	6	3	7	3	5	8	8	7	11	5	5	5	3	11	7	3	5	4	6	6	4	227
10	10	10	11	9	8	10	10	10	9	9	10	8	10	8	10	11	9	9	11	10	10	9	5	4	363
3	4	3	11	4	4	4	3	5	7	7	4	11	7	5	5	3	3	4	2	4	98	4	3	4	583
8	10	9	11	9	10	10	10	8	10	10	10	11	10	5	8	1	9	10	11	10	10	10	10	4	1038
8	8	8	8	8	9	9	9	8	10	8	7	11	9	9	8	8	8	7	11	8	98	8	9	4	757
7	10	5	6	7	8	10	10	7	3	8	7	5	8	3	9	5	11	6	11	10	98	5	5	4	1057
8	9	8	9	9	7	8	8	8	11	10	10	7	8	8	8	11	7	7	7	10	10	10	10	4	1206
10	10	10	11	10	10	10	10	7	10	10	10	11	10	9	10	10	10	10	8	10	10	10	10	4	328
8	10	9	11	8	9	9	9	10	8	8	8	11	10	10	10	10	8	8	6	10	9	6	10	4	765
9	9	8	9	9	9	9	9	9	9	10	9	8	8	8	9	11	1	9	11	10	8	8	8	4	650
9	10	10	10	10	10	10	9	10	10	10	10	11	9	9	10	11	10	10	10	10	10	9	9	4	1276
8	10	8	11	10	10	10	10	9	10	10	7	10	11	8	10	8	8	10	6	10	8	8	8	4	1257
9	7	6	11	7	9	10	10	8	7	9	7	8	8	8	8	5	8	9	11	9	8	7	7	4	924
8	10	9	5	8	8	10	10	5	8	10	8	11	10	8	10	7	7	9	7	8	8	8	7	4	47
7	7	6	6	7	8	8	8	6	6	8	9	6	6	7	7	4	11	8	5	5	6	5	6	4	100
9	10	8	8	9	9	8	8	9	8	10	9	11	10	7	9	6	2	3	8	9	3	6	6	4	1267
8	9	6	8	9	8	8	8	8	8	9	8	11	8	8	7	8	7	8	7	10	10	10	8	4	651
8	8	8	8	8	9	9	8	8	8	10	10	11	10	10	10	8	8	8	8	8	8	10	8	4	973
8	8	6	11	8	9	9	6	8	9	10	7	8	8	9	9	7	8	9	8	10	5	5	6	4	1217
7	7	7	7	9	5	9	9	7	7	8	8	8	8	9	8	10	7	7	7	7	98	10	6	4	1236
9	9	9	9	9	9	9	9	9	9	10	9	11	9	9	9	9	8	8	8	10	8	10	8	4	171
4	5	5	1	7	11	7	4	4	3	8	3	6	8	8	8	1	7	2	4	1	5	2	3	4	522
3	8	8	5	2	8	8	8	4	5	9	8	5	7	6	7	5	5	5	4	7	98	3	7	4	6
5	7	6	11	8	10	10	9	8	8	8	9	8	10	7	8	6	8	10	4	5	6	6	6	4	588
10	10	9	10	10	7	8	7	7	9	10	8	9	9	9	9	8	7	10	11	10	9	10	8	4	201
10	10	10	10	10	9	10	8	10	10	8	10	10	10	10	10	11	10	10	10	10	9	10	10	4	972
7	8	8	11	8	10	10	10	8	10	10	8	8	8	8	8	8	7	7	7	7	7	7	7	4	268
8	8	7	9	8	9	9	9	7	8	10	7	11	9	8	8	8	8	8	8	10	8	10	9	4	977
7	7	7	7	6	7	7	7	7	7	10	5	6	7	6	7	4	5	5	5	2	98	5	7	4	656
6	6	6	6	6	10	10	10	4	8	8	8	11	5	5	5	5	5	5	7	10	10	10	7	4	163
10	9	9	9	10	10	10	10	9	9	10	8	11	9	10	10	6	9	9	8	10	9	10	9	4	699
10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	8	10	10	10	10	4	98
8	8	8	8	8	10	10	10	8	10	10	5	11	8	8	8	8	5	7	8	6	8	7	8	4	493
8	9	7	11	8	8	8	8	7	8	10	6	5	8	8	8	7	7	5	5	9	7	7	6	4	1164
7	7	7	7	8	7	8	7	7	7	7	7	7	8	7	8	6	7	7	7	5	7	7	7	4	720
9	9	9	9	9	8	9	8	9	9	10	10	9	9	9	9	8	8	10	8	10	8	8	9	4	473
7	8	8	7	9	10	10	10	8	10	10	10	8	10	5	5	5	8	8	7	10	8	8	7	4	932
8	9	8	8	8	7	8	10	8	8	8	10	9	9	10	10	8	8	10	7	8	7	8	10	4	1100
8	8	8	6	7	7	8	8	8	8	10	7	5	7	7	8	7	6	7	6	7	7	7	7	4	1088
9	10	8	8	8	8	8	8	10	10	10	10	10	10	10	10	8	8	8	8	10	8	9	9	4	9
7	8	7	8	8	8	8	8	8	8	8	6	5	8	7	7	2	7	6	4	10	7	6	6	4	250
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	6	6	10	6	10	4	806
7	10	7	8	7	8	8	7	8	8	10	10	8	10	9	8	8	8	8	7	6	5	5	7	4	761
8	10	8	9	10	8	6	8	8	9	10	10	9	9	8	9	9	6	8	9	10	9	8	9	4	560
7	10	5	8	10	7	10	10	10	5	8	8	5	6	10	10	1	3	10	5	5	5	7	7	4	568
9	9	8	8	8	9	9	9	10	9	8	8	9	8	9	8	6	8	8	7	10	8	9	8	4	79
8	7	6	6	7	8	7	8	8	6	6	8	8	7	6	7	7	6	7	10	10	7	5	6	4	752
9	9	9	8	8	9	10	9	8	9	10	9	8	10	9	10	9	8	9	8	9	8	9	8	4	147
9	9	10	9	10	9	10	10	9	9	10	10	9	7	9	9	8	8	10	8	10	9	10	9	4	1196
8	8	8	8	8	8	8	8	8	8	8	6	7	8	7	7	6	7	7	6	7	8	8	7	4	800
10	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	4	1248
9	8	8	7	9	10	10	8	9	9	9	9	7	7	9	8	6	8	9	8	10	8	8	8	4	194
7	7	7	6	7	8	8	8	7	6	8	5	5	3	3	6	5	5	5	5	7	7	5	6	4	618
10	10	10	10	10	10	10	10	10	9	10	10	10	8	8	8	9	8	8	9	10	10	10	8	4	1134
7	8	7	7	7	7	7	7	8	8	10	8	5	9	9	9	9	8	8	7	9	8	8	8	4	219
8	7	8	7	9	8	8	7	8	8	9	8	6	8	6	7	5	8	10	7	10	8	10	7	4	97
7	10	10	10	10	8	8	8	10	10	10	10	10	10	10	10	10	7	7	7	10	10	10	9	4	255
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	1	5	5	5	5	4	448
7	7	8	8	8	9	9	9	9	7	9	8	8	7	8	8	7	7	7	7	8	7	7	7	4	1118
7	9	7	7	9	9	9	9	8	8	9	6	7	8	6	9	7	7	7	7	10	7	7	8	4	692
8	8	8	8	8	8	8	8	8	10	10	10	8	9	8	8	5	8	8	8	10	8	9	8	4	1278
8	8	6	8	8	5	6	6	7	10	10	10	5	5	8	5	5	8	8	6	10	7	7	8	4	1225
8	8	8	7	8	9	10	10	8	8	10	9	6	9	7	8	6	7	9	4	9	7	8	8	4	657
10	10	10	10	10	10	10	10	9	10	10	10	10	10	8	10	8	10	10	8	10	10	8	10	4	1039
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	110
7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4	11
7	8	8	8	8	10	10	10	7	8	10	10	8	10	10	10	10	10	10	8	10	10	10	10	4	558
7	9	7	7	7	9	10	10	8	8	9	10	10	7	8	9	8	7	9	8	9	7	7	7	4	359
8	8	8	6	9	8	9	8	9	10	10	9	8	10	9	10	8	9	10	9	10	9	10	9	4	759
5	10	7	8	8	7	8	7	5	6	10	8	9	8	9	8	7	5	7	3	5	5	5	5	4	971
10	10	10	1	10	10	10	10	6	10	8	8	1	8	7	9	4	6	9	1	10	10	10	10	4	335
10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	8	5	5	6	10	10	10	10	4	861
7	7	8	8	7	7	8	8	7	6	8	9	7	7	8	7	7	10	8	5	5	6	7	7	4	56
10	10	5	6	8	10	10	10	10	10	9	9	9	10	8	9	4	8	8	4	8	8	8	8	4	990
8	9	7	9	8	8	8	8	9	10	9	6	9	8	6	7	8	7	7	7	7	9	9	8	4	631
10	10	8	8	8	8	10	8	8	10	10	10	8	10	10	10	8	10	10	5	10	10	10	10	4	1213
10	10	10	10	10	10	10	10	8	10	10	10	7	10	10	10	8	10	10	8	10	10	10	8	4	211
10	8	8	10	10	8	8	8	8	10	10	10	10	10	9	10	9	10	10	9	10	9	9	8	4	987
7	6	6	7	7	8	7	7	5	8	10	8	6	7	7	7	7	5	6	6	5	5	5	6	4	521
10	10	10	10	10	10	10	10	9	10	10	9	9	10	10	10	9	9	10	9	10	10	10	9	4	422
7	7	7	7	7	7	7	7	6	5	8	8	7	6	5	7	7	7	7	6	7	7	7	7	4	420
9	10	9	9	10	9	10	9	8	10	10	10	7	10	9	10	8	8	10	8	10	9	10	9	4	642
7	7	7	7	7	9	9	9	7	7	7	7	7	7	8	9	7	7	7	7	7	7	7	7	4	1020
8	11	8	7	9	10	10	10	7	8	8	8	11	8	11	11	11	7	8	11	10	7	5	5	5	883
10	8	11	8	7	10	10	10	5	8	8	8	11	8	11	8	11	8	8	11	10	98	1	5	5	481
10	10	10	10	10	10	11	11	10	10	10	10	11	10	10	10	11	10	10	10	10	98	10	10	5	594
8	9	9	8	9	8	11	11	7	7	9	8	8	8	8	7	11	7	7	11	7	98	8	7	5	711
10	10	10	10	10	10	10	11	10	8	10	10	11	10	11	10	11	11	10	10	10	10	10	5	5	370
10	10	8	8	9	9	11	5	9	10	10	10	11	11	8	10	5	11	8	11	8	5	8	5	5	179
8	8	10	7	9	9	9	9	8	8	10	10	11	10	11	10	11	5	6	11	5	7	8	7	5	232
10	10	10	10	10	10	10	10	10	11	10	5	10	10	10	10	10	11	11	11	5	1	7	5	5	867
9	10	11	11	9	10	10	10	10	8	9	10	10	10	10	10	1	8	11	11	1	8	1	8	5	158
7	9	8	11	8	7	8	7	3	8	10	9	11	8	8	8	5	11	11	8	10	8	6	7	5	388
8	5	9	10	8	11	11	5	5	10	5	2	8	5	5	5	11	10	5	11	10	8	1	10	5	343
8	10	8	10	10	6	11	10	8	10	10	8	10	10	10	8	11	11	10	11	10	10	6	10	5	763
7	8	7	8	7	7	8	8	6	6	8	7	11	11	8	11	5	5	5	6	7	6	8	5	5	936
6	6	7	7	7	9	7	9	8	7	8	7	11	9	9	9	11	7	7	11	5	7	7	7	5	1040
6	8	11	8	7	5	8	8	6	10	10	10	8	10	8	8	11	6	10	11	5	9	10	5	5	451
9	10	8	11	9	9	8	10	10	9	9	10	11	8	9	8	11	8	8	9	8	9	9	8	5	1256
7	8	7	7	6	7	7	7	8	8	8	8	7	11	8	7	7	11	11	7	10	7	7	5	5	394
8	8	7	7	7	9	9	9	8	8	8	5	11	8	8	8	11	8	8	7	10	98	10	9	5	175
7	7	8	8	5	6	8	6	6	6	5	8	9	7	8	7	7	11	11	4	3	98	5	4	5	1094
7	7	4	4	8	8	8	8	7	10	10	10	11	7	7	7	11	7	5	11	10	7	7	7	5	143
6	8	2	6	8	8	8	11	7	6	9	4	11	7	7	8	11	6	6	1	10	6	10	5	5	1151
10	10	8	8	10	10	10	10	5	10	11	10	10	10	10	10	11	10	10	8	10	10	10	10	5	981
10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	5	599
8	8	6	6	8	9	9	9	8	9	8	6	11	9	7	8	11	7	7	7	10	8	10	8	5	1188
7	8	8	11	6	10	8	8	8	8	10	9	11	10	10	9	10	10	10	7	10	8	9	10	5	578
10	10	8	11	8	8	8	8	10	8	10	5	11	9	8	9	5	8	8	10	10	8	9	9	5	790
7	10	7	7	7	8	11	4	8	8	8	1	7	9	9	9	7	5	8	11	9	5	1	8	5	3
10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	10	10	8	5	184
8	8	8	8	8	8	9	8	7	8	8	7	6	8	7	8	11	7	7	7	8	98	7	7	5	1204
9	9	9	11	9	10	10	10	8	8	9	9	6	8	9	9	11	8	8	8	10	8	10	6	5	1224
8	8	8	8	8	7	7	7	8	10	10	10	10	8	8	8	11	10	10	10	10	98	10	7	5	1246
7	8	8	11	8	8	8	8	7	8	8	8	6	9	5	7	11	8	8	6	10	7	10	7	5	665
10	10	10	8	10	10	10	10	10	10	10	10	11	10	10	10	11	10	10	10	10	8	10	10	5	698
6	7	9	11	11	9	9	9	8	6	9	10	8	6	8	10	7	5	6	8	10	8	8	9	5	739
8	8	8	9	9	9	11	10	9	9	10	10	11	8	7	9	8	7	9	7	9	7	7	9	5	189
7	7	7	11	7	8	8	8	7	8	9	9	11	5	6	5	1	5	4	5	9	6	6	6	5	416
8	8	8	7	8	9	10	10	8	7	9	9	11	9	9	8	8	8	8	11	5	7	6	8	5	421
10	10	10	10	10	10	10	10	10	10	10	11	8	8	8	8	11	8	8	7	10	10	1	5	5	958
8	10	10	11	10	10	10	10	8	10	10	10	6	10	8	10	7	10	10	11	10	10	10	8	5	553
7	8	8	6	8	8	8	8	5	5	9	3	5	8	6	7	11	8	8	4	10	8	7	5	5	873
8	8	8	11	8	8	10	10	10	10	10	10	10	10	10	10	10	8	10	9	10	5	10	8	5	174
10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	5	1285
9	9	9	9	9	10	10	10	9	9	8	7	8	8	8	8	7	9	9	11	10	9	10	9	5	853
7	10	11	7	9	10	10	10	8	8	10	10	7	8	8	8	6	8	8	8	10	8	8	7	5	207
9	10	8	8	9	8	8	7	9	9	10	9	9	8	8	9	9	10	9	11	10	9	10	9	5	203
7	7	7	7	7	10	10	10	5	10	10	10	11	9	9	10	1	5	5	5	1	5	5	7	5	1045
10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	5	1289
8	9	7	9	9	10	8	8	6	9	10	10	6	11	7	6	5	5	8	7	5	8	8	6	5	533
9	10	8	11	8	8	9	9	8	8	9	9	8	10	10	10	8	9	9	9	9	9	10	5	5	946
7	9	9	5	9	10	10	10	9	9	9	9	11	8	8	8	5	8	8	7	5	7	7	7	5	375
9	8	9	10	8	10	9	9	8	8	8	8	8	9	9	9	9	8	10	11	10	8	8	8	5	713
8	9	8	7	9	7	10	9	5	5	5	2	7	3	3	4	3	9	9	8	9	7	7	8	5	805
10	10	8	9	7	8	7	8	8	8	9	9	7	9	6	8	6	8	7	7	8	8	7	7	5	747
8	8	8	5	7	7	8	8	8	6	10	6	6	7	7	7	5	6	7	8	9	8	7	8	5	336
8	8	10	10	10	10	10	10	8	10	10	10	10	10	10	10	8	8	10	6	10	8	10	8	5	114
8	8	7	7	9	8	8	8	9	9	8	9	10	7	6	7	6	5	5	9	5	5	9	5	5	916
8	7	7	9	9	7	9	8	7	8	10	10	8	8	8	8	7	8	8	7	8	8	8	8	5	620
8	8	8	8	8	8	8	8	8	8	9	7	8	8	8	8	8	8	8	7	10	10	10	10	5	952
8	10	9	10	10	10	10	10	10	10	10	10	8	10	10	9	9	8	10	8	10	10	10	8	5	487
8	8	8	9	8	9	9	9	8	9	9	9	8	8	8	8	8	8	9	9	10	8	9	9	5	344
7	7	6	10	10	8	8	8	8	8	10	6	8	10	10	10	6	8	8	5	10	8	10	8	5	960
10	10	10	10	10	10	10	10	10	10	10	10	8	10	10	10	8	10	10	10	10	10	10	10	5	731
10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	458
9	8	8	7	8	9	9	7	9	9	10	10	7	8	8	9	8	8	8	7	5	10	9	9	5	659
6	7	4	7	8	7	8	7	7	6	8	5	7	7	6	7	5	5	7	7	6	7	6	7	5	283
10	10	7	10	10	8	10	10	10	7	10	6	6	10	7	10	10	10	10	8	10	10	10	10	5	1287
9	9	9	9	10	10	10	10	9	10	10	8	9	9	9	9	6	9	10	9	10	10	10	9	5	267
10	10	10	10	10	10	10	10	8	10	10	8	8	10	10	10	8	10	10	10	10	10	10	10	5	137
8	9	8	9	8	10	10	9	9	8	9	8	8	8	8	8	7	8	8	8	10	8	10	9	5	1066
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	710
6	8	6	8	8	6	8	6	5	8	9	5	8	7	7	7	7	4	8	4	8	5	4	5	5	901
8	8	7	6	8	10	10	10	8	9	8	8	8	7	7	8	5	7	8	8	8	8	8	6	5	88
7	6	7	7	7	6	7	7	7	10	10	10	7	7	7	7	6	8	8	6	6	10	8	8	5	771
10	10	10	10	10	10	10	10	8	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	5	951
10	10	10	8	10	10	10	10	8	10	10	10	8	10	10	10	5	10	8	10	10	10	10	10	5	762
7	7	7	7	10	7	7	7	7	7	10	8	7	7	7	7	7	7	7	7	10	7	7	7	5	1024
8	10	10	8	10	8	10	10	10	10	10	8	10	10	8	10	8	10	10	8	10	8	8	8	5	1229
9	10	10	9	9	10	10	10	8	9	9	10	7	10	10	10	8	9	10	10	10	10	10	8	5	515
7	7	8	7	9	8	10	10	7	7	10	10	8	10	9	10	7	7	9	8	8	8	8	7	5	1242
9	8	8	8	9	10	10	10	8	8	9	8	9	9	8	8	7	8	8	8	9	9	8	8	5	1275
8	8	8	8	9	8	10	9	8	9	10	9	8	10	9	9	8	8	8	7	10	9	9	8	5	1185
8	8	8	8	8	9	9	9	9	9	9	8	8	9	9	9	8	9	9	8	10	8	8	5	5	809
9	10	9	8	10	10	10	10	10	10	10	9	9	10	10	10	7	7	10	8	10	9	9	9	5	617
10	8	9	9	10	8	8	8	5	10	10	9	7	8	8	8	7	8	9	9	10	8	10	8	5	871
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	582
8	8	7	8	8	8	8	8	8	7	7	7	7	8	8	8	7	6	6	8	5	5	5	5	5	776
8	8	9	8	9	10	9	8	7	7	9	8	7	6	7	8	7	6	6	8	10	8	8	7	5	1048
8	8	7	7	8	8	8	8	10	9	10	10	7	8	10	7	6	10	7	8	10	7	9	8	5	674
7	7	7	7	7	5	6	6	6	8	8	7	5	7	7	5	5	7	7	5	8	6	8	5	5	580
9	8	8	10	10	8	8	8	9	8	10	10	8	8	8	8	8	8	10	8	10	9	10	8	5	728
5	5	5	5	5	5	5	5	5	6	6	6	4	5	5	5	5	5	5	5	4	5	5	5	5	768
7	10	10	10	10	10	10	10	8	10	10	10	10	10	10	10	10	8	9	6	6	7	7	6	5	819
10	10	10	10	10	10	10	10	10	10	10	9	9	10	10	10	8	10	10	10	10	10	10	10	5	30
10	10	10	9	10	10	10	10	9	10	10	10	10	10	9	10	7	10	10	9	10	10	10	10	5	1282
8	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	9	8	8	7	8	5	1138
8	8	10	10	9	9	8	8	8	10	10	8	10	10	8	10	9	9	10	10	10	9	10	8	5	514
7	7	7	7	7	8	8	8	5	10	9	8	7	8	5	5	5	6	6	9	9	8	8	8	5	505
8	8	8	8	8	8	8	8	8	9	10	9	8	9	9	9	6	8	8	9	9	9	9	8	5	67
8	9	8	9	8	7	7	7	8	10	8	10	5	10	8	8	8	8	8	5	6	6	6	7	5	176
9	9	8	11	9	10	10	10	9	9	9	9	7	8	11	11	11	11	11	8	10	8	8	6	6	1234
8	8	5	8	8	8	9	9	5	10	10	10	11	11	11	11	11	5	5	11	9	8	8	5	6	789
8	7	7	11	11	9	9	9	7	10	10	7	7	11	6	6	11	11	11	6	10	8	10	6	6	508
8	10	10	10	10	11	11	11	8	11	10	8	5	10	10	10	10	8	8	11	10	9	10	5	6	799
10	10	10	11	10	10	10	10	8	10	10	10	5	11	9	11	11	5	10	11	10	9	10	7	6	1022
